name,brand,gender,cotton_pct,category,asin,amazon_url,search_terms,price_band,why_qualifies,reject_notes,status
"Champion Men Graphic Lounge Short,Standard Fit,7"" Inseam,Script Logo,Lightweight 100% Cotton Jersy,Available Regular,Big,Tall",Champion,men,100,shorts,B07MTGTPFZ,https://www.amazon.com/dp/B07MTGTPFZ,100% cotton gym shorts men,~$20.83,Verified Fabric type on amazon.com product page: 100% Cotton. Rating 4.4. 100% cotton composition recorded only from product page materials.,,qualify
"SILKWORLD Women's 5"" Running Shorts Soft Golf Workout Shorts Quick Dry Elastic Athletic Shorts with Zipper Pockets",SILKWORLD,women,100,shorts,B0B7NDRHMR,https://www.amazon.com/dp/B0B7NDRHMR,100% cotton workout shorts women,see listing,Verified Fabric type on amazon.com product page: 100% Cotton. Rating 4.0. 100% cotton composition recorded only from product page materials.,,qualify
Russell Athletic Men's Jersey Cotton Joggers with Pockets,Russell Athletic,men,100,joggers,B084PVNHG5,https://www.amazon.com/dp/B084PVNHG5,100% cotton joggers men,~$21.95,Verified Fabric type on amazon.com product page: 100% Cotton. Rating 4.1. 100% cotton composition recorded only from product page materials.,,qualify
"Champion Men's Joggers, Everyday Cotton, Lightweight Lounge Knit Pants for Men, 31""",Champion,men,100,joggers,B09NCCZBWN,https://www.amazon.com/dp/B09NCCZBWN,100% cotton joggers men Champion,~$49.99,Verified Fabric type on amazon.com product page: 100% Cotton. Rating 4.4. 100% cotton composition recorded only from product page materials.,,qualify
"Champion Men's Open-Bottom Lounge Pants, Standard Fit, Lightweight 100% Cotton, Available in Regular and Big & Tall",Champion,men,100,joggers,B00FSB5TNE,https://www.amazon.com/dp/B00FSB5TNE,100% cotton joggers men open bottom,~$24.50,Verified Fabric type on amazon.com product page: 100% Cotton. Rating 4.3. 100% cotton composition recorded only from product page materials.,,qualify
"Hanes Men's Originals Cotton Joggers, Jersey Sweatpants with Pockets, 30"" Inseam",Hanes,men,100,joggers,B0C5S442YN,https://www.amazon.com/dp/B0C5S442YN,100% cotton joggers men Hanes Originals,~$21.00,Verified Fabric type on amazon.com product page: 100% Cotton. Rating 4.4. 100% cotton composition recorded only from product page materials.,,qualify
B0BN4TLMVW,See listing,men,100,joggers,B0BN4TLMVW,https://www.amazon.com/dp/B0BN4TLMVW,hanes cotton joggers men,~$13.50,"Verified Fabric type on amazon.com product page: 100% Cotton; Light Steel: 90% Cotton, 10% Polyester; Other Heathers: 60% Cotton,. Rating 4.3. 100% cotton composition recorded only from product page materials.","Fabric field also lists heather blends: 100% Cotton; Light Steel: 90% Cotton, 10% Polyester; Other Heathers: 60% Cotton, 40% Polyester. Use solid colors only.",qualify
Essential Elements Mens 3 Pack 100% Cotton Jogger Lounge Sweatpants Pockets,Essential Elements,men,100,joggers,B0DFHLKGKS,https://www.amazon.com/dp/B0DFHLKGKS,100% cotton joggers men 3 pack,~$34.99,Verified Fabric type on amazon.com product page: 100% Cotton. Rating 4.2. 100% cotton composition recorded only from product page materials.,,qualify
"Hanes Women's Hanes Originals Women’s Joggers, 100% Cotton Jersey",Hanes,women,100,joggers,B0DCZXLP8Z,https://www.amazon.com/dp/B0DCZXLP8Z,100% cotton joggers women,~$16.99,Verified Fabric type on amazon.com product page: 100% Cotton. Rating 4.0. 100% cotton composition recorded only from product page materials.,,qualify
"Hanes Women's Hanes Originals Women’s Joggers, 100% Cotton Jersey",Hanes,women,100,joggers,B0BB88Z6QV,https://www.amazon.com/dp/B0BB88Z6QV,100% cotton joggers women Hanes Originals,~$16.99,Verified Fabric type on amazon.com product page: 100% Cotton. Rating 4.0. 100% cotton composition recorded only from product page materials.,,qualify
Otomix Women's Asian Character Workout or Casual Pants (Black),Otomix,women,100,joggers,B01JDY8W6C,https://www.amazon.com/dp/B01JDY8W6C,100% cotton workout pants women,see listing,Verified Fabric type on amazon.com product page: 100% Cotton. 100% cotton composition recorded only from product page materials.,,qualify
"100% Cotton Socks for Men and Women, Breathable Comfort-Fit Crew Socks for Daily Use, Calcetines 100% Algodón",See listing,unisex,100,socks,B0D5QZDQSS,https://www.amazon.com/dp/B0D5QZDQSS,100% cotton crew socks,~$16.88,Verified Fabric type on amazon.com product page: 100% Cotton. Rating 5.0. 100% cotton composition recorded only from product page materials.,,qualify
"100% Cotton Socks for Men and Women, Breathable Comfort-Fit Crew Socks for Daily Use, Calcetines 100% Algodón",See listing,unisex,100,socks,B0D5R18KKJ,https://www.amazon.com/dp/B0D5R18KKJ,100% cotton crew socks,see listing,Verified Fabric type on amazon.com product page: 100% Cotton. Rating 5.0. 100% cotton composition recorded only from product page materials.,,qualify
"Cottonique Deborah Latex-Free Support Racerback Bra Made from 100% Organic Cotton (44DD, Natural)",Cottonique,women,100,bra,B09BCDRWTB,https://www.amazon.com/dp/B09BCDRWTB,100% cotton sports bra,~$55.00,Verified Fabric type on amazon.com product page: 100% Cotton. Rating 5.0. 100% cotton composition recorded only from product page materials.,,qualify
B0DDR5KHRJ,See listing,women,100,joggers,B0DDR5KHRJ,https://www.amazon.com/dp/B0DDR5KHRJ,100% cotton joggers women,see listing,Verified Fabric type on amazon.com product page: 100% Cotton. Rating 3.9. 100% cotton composition recorded only from product page materials.,,qualify
Fruit of the Loom Women's Spaghetti Strap Cotton Cami Sports Bra Multipack,Fruit of the Loom,women,95,bra,B07KL1QFP4,https://www.amazon.com/dp/B07KL1QFP4,100% cotton sports bra,~$14.94,,"95% cotton / 5% Lycra cotton sports-bra trap. Verified fabric: 95% Cotton,5% Lycra.",reject
Fruit of the Loom Women's Multi-Pack Front Close Sports Bra,Fruit of the Loom,women,95,bra,B00GMJ6WD2,https://www.amazon.com/dp/B00GMJ6WD2,cotton sports bra,~$16.90,,"95% cotton / 5% Spandex. Verified fabric: 95% Cotton, 5% Spandex.",reject
B095F2V1DM,See listing,women,82,shorts,B095F2V1DM,https://www.amazon.com/dp/B095F2V1DM,100% cotton workout shorts women Champion,see listing,,"82% cotton / 18% poly despite cotton marketing. Verified fabric: 82% Cotton, 18% Polyester.",reject
Russell Athletic Men's Russell Athletic Men's Premium Ringspun Cotton Short with Pockets,Russell Athletic,men,50,shorts,B084PVJJD7,https://www.amazon.com/dp/B084PVJJD7,100% cotton gym shorts men Russell Athletic,~$18.98,,"Title says cotton; fabric 50/50 cotton-poly. Verified fabric: 50% Cotton, 50% Polyester.",reject
B096ST1QFT,See listing,women,92,shorts,B096ST1QFT,https://www.amazon.com/dp/B096ST1QFT,100% cotton workout shorts women,see listing,,"92% cotton / 8% spandex. Verified fabric: Solid Color: 92% Cotton, 8% Spandex; Charcoal: 55% Cotton, 39% Polyester, 6% Spandex.",reject
"URATOT Women's Cotton Gym Yoga Summer Running Active Dance Elastic Shorts, Pack of 2",URATOT,women,95,shorts,B083XXDY3D,https://www.amazon.com/dp/B083XXDY3D,100% cotton workout shorts women,~$9.99,,"95% cotton / 5% spandex. Verified fabric: 95% Cotton, 5% Spandex.",reject
"Jockey Women's Activewear Cotton Jersey 5"" Sport Short",Jockey,women,,shorts,B07BNCXNY5,https://www.amazon.com/dp/B07BNCXNY5,100% cotton workout shorts women,~$12.64,,"Jersey/poly/cotton/spandex blend. Verified fabric: Jersey,Polyester,Cotton,Spandex.",reject
"Amazon Essentials Women's Regular-Fit Short-Sleeve Crewneck T-Shirt, Cotton Modal Blend, Pack of 2",Amazon Essentials,women,56,tee,B08P4SZ2VK,https://www.amazon.com/dp/B08P4SZ2VK,100% cotton women gym t-shirt,~$7.32,,"56% cotton / 37% modal / 7% elastane — confuse with 100% Essentials. Verified fabric: 56% Cotton, 37% Modal, 7% Elastane.",reject
"Hanes Men's Crew & Over the Calf Socks Pack, Max Cushioned Moisture-wicking Stay Dry Socks, Athletic Socks, 6, 8 Or 12-pairs",Hanes,men,39,socks,B0CK2FLQH2,https://www.amazon.com/dp/B0CK2FLQH2,100% cotton crew socks men,~$19.88,,"~39% cotton athletic sock (mostly poly). Verified fabric: 50% Polyester, 39% Cotton, 8% Rayon, 3% Spandex.",reject
B09B1Q9MB1,See listing,unisex,,socks,B09B1Q9MB1,https://www.amazon.com/dp/B09B1Q9MB1,100% cotton crew socks organic,see listing,,"Organic cotton title but cotton+elastane+polyamide. Verified fabric: Cotton,Elastane,Polyamide.",reject
"Jerzees Men's Dri-Power Short Sleeve T-Shirt (Pocket & No, Pocket-3",Jerzees,men,50,tee,B00T7U9CR6,https://www.amazon.com/dp/B00T7U9CR6,cotton gym t-shirt men,~$25.99,,"50/50 cotton-poly Dri-Power. Verified fabric: 50% Cotton, 50% Polyester.",reject
